digits,section,division,group,class,item,desc_en,exclude_en,include_en,desc_bm,exclude_bm,include_bm
5,K,64,649,6492,64923,Licensed money lending activities,,,Aktiviti peminjaman wang berlesen,,
5,K,64,649,6492,64924,Pawnshops and pawnbrokers includes Ar-Rahnu,,,Kedai pajak gadai dan tukang pajak termasuk_x000D_ Ar-Rahnu,,
5,K,64,649,6492,64925,Co-operative with credits functions,,,Koperasi dengan fungsi kredit,,
5,K,64,649,6492,64929,Other credit granting n.e.c.,,,Pemberian kredit lain t.t.t.l.,,
5,K,64,649,6499,64991,Factoring companies,,,Syarikat pemfaktoran,,
5,K,64,649,6499,64992,Representative office of foreign banks,,,Wakil pejabat bank asing,,
5,K,64,649,6499,64993,Nominee companies,,,Syarikat nomini,,
5,K,64,649,6499,64999,"Other financial service activities, except insurance/takaful and pension funding n.e.c.",,,"Aktiviti perkhidmatan kewangan lain, kecuali insurans/takaful dan tabungan pencen, t.t.t.l.",,
5,K,65,651,6511,65111,Life insurance,,,Insurans Hayat,,
5,K,65,651,6511,65112,Family takaful,,,Takaful keluarga,,
5,K,65,651,6512,65121,General insurance,,,Insurans am,,
5,K,65,651,6512,65122,General takaful,,,Takaful am,,
5,K,65,651,6512,65123,Composite insurance,,,Insurans komposit,,
5,K,65,651,6512,65124,Offshore insurance,,,Insurans luar pesisir pantai,,
5,K,65,651,6512,65125,Offshore takaful,,International Takaful Operators,Takaful luar pesisir pantai(1),,
5,K,65,652,6520,65201,Life reinsurance,,,Insurans semula hayat,,
5,K,65,652,6520,65202,Family retakaful,,,Takaful semula keluarga,,
5,K,65,652,6520,65203,General reinsurance,,,Insurans semula am,,
5,K,65,652,6520,65204,General retakaful,,,Takaful semula am,,
5,K,65,652,6520,65205,Composite retakaful,,,Takaful semula komposit,,
5,K,65,652,6520,65206,Offshore reinsurance,,,Insurans semula luar pesisir pantai,,
5,K,65,652,6520,65207,Offshore retakaful,,,Takaful semula luar pesisir pantai,,
5,K,65,653,6530,65301,Pension funding,,employee benefit plans,Tabungan pencen(2),,
5,K,65,653,6530,65302,Provident funding,,employee benefit plans,Tabungan hemat,,
5,K,66,661,6611,66111,Stock exchanges,,,Bursa saham,,
5,K,66,661,6611,66112,Exchanges for commodity contracts,,,Bursa untuk kontrak komoditi,,
5,K,66,661,6611,66113,Securities exchange,,,Bursa sekuriti,,
5,K,66,661,6611,66114,Exchanges for commodity futures contracts,,,Bursa kontrak komoditi masa hadapan,,
5,K,66,661,6611,66119,Administration of financial markets n.e.c.,,,Pentadbiran pasaran kewangan t.t.t.l.,,
5,K,66,661,6612,66121,"Stock, share and bond brokers",,,"Broker stok, saham dan bon",,
5,K,66,661,6612,66122,Commodity brokers and dealers,,,Broker dan peniaga komoditi,,
5,K,66,661,6612,66123,Gold bullion dealers,,,Peniaga jongkong emas,,
5,K,66,661,6612,66124,Foreign exchange broker and dealers (Bureaux de change),,,Broker dan peniaga tukaran wang asing (Bureaux de change),,
5,K,66,661,6612,66125,Money-changing services,,,Perkhidmatan pengurup wang,,
5,K,66,661,6612,66129,Other financial and commodity futures brokers and dealers,,,Broker dan peniaga kewangan dan komoditi masa hadapan lain,,
5,K,66,661,6619,66191,Investment advisory services,,,Perkhidmatan penasihat pelaburan,,
5,K,66,661,6619,66192,Financial consultancy services,,,Perkhidmatan perundingan kewangan,,
5,K,66,661,6619,66199,Activities auxiliary to finance n.e.c.,,,Aktiviti sokongan kepada kewangan t.t.t.l.,,
5,K,66,662,6621,66211,Insurance adjusting service,,,Perkhidmatan penyesuaian insurans,,
5,K,66,662,6621,66212,Takaful adjusting service,,,Perkhidmatan penyesuaian takaful,,
5,K,66,662,6622,66221,Insurance agents,,,Ejen insurans,,
5,K,66,662,6622,66222,Takaful agents,,,Ejen takaful,,
5,K,66,662,6622,66223,Insurance brokers,,,Broker insurans,,
5,K,66,662,6622,66224,Takaful brokers,,,Broker takaful,,
5,K,66,662,6629,66290,"Other activities auxiliary to insurance, takaful and pension funding","marine salvage activities, see 5222","activities involved in or closely related to insurance, takaful and pension funding (except claims adjusting and activities of insurance agents)","Aktiviti sokongan kepada insurans, takaful dan tabungan pencen lain(3)",,
5,K,66,663,6630,66301,Management of pension funds,,,Pengurusan tabung pencen,,
5,K,66,663,6630,66302,Assets/portfolio management,,,Pengurusan aset/portfolio,,
5,K,66,663,6630,66303,Unit trust management companies,,,Syarikat pengurusan unit amanah,,
5,L,68,681,6810,68101,"Buying, selling, renting and operating of self-owned or leased real estate – residential buildings",,,"Pembelian, penjualan, penyewaan dan pengendalian bagi hartanah milikan sendiri atau pajakan – bangunan kediaman",,
5,L,68,681,6810,68102,"Buying, selling, renting and operating of self-owned or leased real estate – non-residential buildings",,"offices, shop houses, industrial units, exhibition halls, space in theatres, self-storage facilities, malls and shopping centers","Pembelian, penjualan, penyewaan dan pengendalian bagi hartanah milikan sendiri atau pajakan - bangunan bukan kediaman(2)",,
5,L,68,681,6810,68103,"Buying, selling, renting and operating of self-owned or leased real estate – land",,,"Pembelian, penjualan, penyewaan dan pengendalian bagi hartanah milikan sendiri atau pajakan - tanah",,
5,L,68,681,6810,68104,"Development of building projects for own operation, i.e. for renting of space in these buildings",,"providing of homes and flats, apartments or condominiums for more permanent use (monthly or annual)",Pembangunan bagi projek yang dibina untuk operasi sendiri spt. untuk sewaan ruang di dalam bangunan(3),,
5,L,68,681,6810,68109,Real estate activities with own or leased property n.e.c.,,provision of space for animal boarding only,Aktiviti hartanah bagi harta milikan sendiri atau pajakan t.t.t.l.(4),,
5,L,68,682,6820,68201,"Activities of real estate agents and brokers for buying, selling and renting of real estate",,,"Aktiviti agen dan broker hartanah untuk pembelian, penjualan dan penyewaan hartanah",,
5,L,68,682,6820,68202,Management of real estate on a fee or contract basis,,,Pengurusan hartanah atas dasar bayaran atau kontrak,,
5,L,68,682,6820,68203,Appraisal services for real estate,,real estate escrow agents,Perkhidmatan penilaian hartanah(2),,
5,L,68,682,6820,68209,Real estate activities on a fee or contract basis n.e.c.,,operation of occupied buildings,Aktiviti hartanah atas dasar bayaran atau kontrak t.t.t.l.(3),,
5,M,69,691,6910,69100,Legal activities,"law court activities, see 84235","legal representation of one party’s interest against another party, whether or not before courts or other judicial bodies by, or under supervision of, persons who are members of the bar:·    advise and representation in civil cases, ·    advice and representation in criminal cases, ·    advice and representation in connection with labour disputes",Aktiviti guaman,,
5,M,69,692,6920,69200,"Accounting, bookkeeping and auditing activities; tax consultancy","data-processing and tabulation activities, see item 63112. management consultancy such as design of accounting systems, cost accounting programs, budgetary control procedures, see item 70209. bill collection, see 82910","activities involving the recording of commercial transactions from businesses or others, the preparation or auditing of financial accounts, the examination of accounts and the certification of their accuracy and the preparation of personal and business income tax returns. Included are related advisory activities and representation (other than legal representation) on behalf of clients before tax authorities","Aktiviti perakaunan, simpan kira dan audit; perundingan percukaian",,
5,M,70,701,7010,70100,Activities of head offices,"activities of holding companies, not engaged in managing, see 64200","the overseeing and managing of other units of the company or enterprise; it exercise operational control and manage day-to-day operations of their related units; it includes: head offices, centralized administrative offices, corporate offices, district and regional offices and subsidiary management offices",Aktiviti ibu pejabat,,
5,M,70,702,7020,70201,Business management consultancy services,,,Perkhidmatan perundingan pengurusan perniagaan,,
5,M,70,702,7020,70202,Human resource consultancy services,,labour recruitment and provision of personnel service,Perkhidmatan perundingan sumber manusia(2),,
5,M,70,702,7020,70203,Consultancy services in public relation and communications,,,Perkhidmatan perundingan perhubungan awam dan komunikasi,,
